2025-08-23 07:10:51,880 - root - INFO - Logging configured successfully.
2025-08-23 07:10:51,880 - __main__ - INFO - =================================
2025-08-23 07:10:51,880 - __main__ - INFO - Hydraulic Digital Twin Simulation
2025-08-23 07:10:51,881 - __main__ - INFO - =================================
2025-08-23 07:10:51,881 - __main__ - INFO - --- Running Increased Noise Fault Scenario ---
2025-08-23 07:10:51,881 - digital_twin_hydraulic_system.simulation_manager - INFO - Initializing components...
2025-08-23 07:10:51,881 - digital_twin_hydraulic_system.models.fvm_channel_model - DEBUG - FVM Channel Model (Model A) initialized with ghost cells.
2025-08-23 07:10:51,881 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Integral-Delay Channel Model (Model B) initialized.
2025-08-23 07:10:51,881 - digital_twin_hydraulic_system.sensor_simulator - DEBUG - Sensor Simulator initialized.
2025-08-23 07:10:51,881 - digital_twin_hydraulic_system.diagnostics.data_preprocessor - DEBUG - Data Preprocessor initialized with moving_average filter (window=5).
2025-08-23 07:10:51,881 - digital_twin_hydraulic_system.diagnostics.system_identifier - DEBUG - System Identifier initialized.
2025-08-23 07:10:51,881 - digital_twin_hydraulic_system.diagnostics.fault_detector - DEBUG - Fault Detector initialized.
2025-08-23 07:10:51,881 - digital_twin_hydraulic_system.visualization - DEBUG - Visualizer initialized.
2025-08-23 07:10:51,881 - digital_twin_hydraulic_system.simulation_manager - INFO - Simulation Manager initialized successfully.
2025-08-23 07:10:51,881 - digital_twin_hydraulic_system.simulation_manager - INFO - Scheduled perturbation 'sensor_fault' at t=1000s.
2025-08-23 07:10:51,881 - digital_twin_hydraulic_system.simulation_manager - INFO - Starting simulation for 3600 seconds...
2025-08-23 07:10:51,883 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.900, b1=0.100, delay=5
2025-08-23 07:10:51,884 - digital_twin_hydraulic_system.simulation_manager - INFO - T=  0.0s | dt=1.000s | h_upstream=2.502, h_gate_up=2.500
2025-08-23 07:10:51,885 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.112, b1=0.100, delay=5
2025-08-23 07:10:51,886 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.050, b1=0.100, delay=5
2025-08-23 07:10:51,886 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.013, b1=0.100, delay=5
2025-08-23 07:10:51,887 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.992, b1=0.100, delay=5
2025-08-23 07:10:51,888 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.982, b1=0.100, delay=5
2025-08-23 07:10:51,888 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.979, b1=0.100, delay=5
2025-08-23 07:10:51,889 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.980, b1=0.100, delay=5
2025-08-23 07:10:51,889 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.983, b1=0.100, delay=5
2025-08-23 07:10:51,890 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.988, b1=0.100, delay=5
2025-08-23 07:10:51,891 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.992, b1=0.100, delay=5
2025-08-23 07:10:51,891 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.997, b1=0.100, delay=5
